,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
32,us-west-1,corecontrast,POST,/multicore,773b1b790dd1b73d477a30d2e96cff90,c88fc1f80674cec9,477a30d2e96cff90,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:92|
33,us-west-1,sslateingress,POST,/multicore,773b1b790dd1b73d477a30d2e96cff90,477a30d2e96cff90,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:108|
34,us-west-1,corecontrast,POST,/multicore,646177b8405042f04c9ccd15c04a2e74,dae5eeba945d5438,4c9ccd15c04a2e74,2.0,16.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:96|
35,us-west-1,sslateingress,POST,/multicore,646177b8405042f04c9ccd15c04a2e74,4c9ccd15c04a2e74,nan,0.0,17.0,17.0,3.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
36,us-west-1,sslateingress,POST,/multicore,b5d71f2fc7f31a8e3f88374fdf89479e,3f88374fdf89479e,nan,0.0,17.0,17.0,3.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:108|
37,us-west-1,corecontrast,POST,/multicore,b5d71f2fc7f31a8e3f88374fdf89479e,391e66706f09759a,3f88374fdf89479e,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:124|
38,us-west-1,sslateingress,POST,/multicore,893ae9ff3e8babf644d5ae45f208e9f8,44d5ae45f208e9f8,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
39,us-west-1,corecontrast,POST,/multicore,893ae9ff3e8babf644d5ae45f208e9f8,caf31cb148b808db,44d5ae45f208e9f8,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:76|
40,us-west-1,sslateingress,POST,/multicore,70ce88956020e960dddc85f9f5d15133,dddc85f9f5d15133,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:112|
41,us-west-1,corecontrast,POST,/multicore,70ce88956020e960dddc85f9f5d15133,63ece2b3d45418ba,dddc85f9f5d15133,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:80|
42,us-west-1,sslateingress,POST,/multicore,b8f7309f9ea4fedbd1bccae76ad5b385,d1bccae76ad5b385,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:104|
43,us-west-1,corecontrast,POST,/multicore,b8f7309f9ea4fedbd1bccae76ad5b385,507f9c44f72cd12d,d1bccae76ad5b385,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:104|
44,us-west-1,sslateingress,POST,/multicore,449e4b73a3fb2d57bbe23e401f479b7a,bbe23e401f479b7a,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:96|
45,us-west-1,corecontrast,POST,/multicore,449e4b73a3fb2d57bbe23e401f479b7a,3c16f67132c203f7,bbe23e401f479b7a,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:104|
46,us-west-1,corecontrast,POST,/multicore,3b1232eb05d30096e115be919635cb87,fcde55870b06da7c,e115be919635cb87,1.0,16.0,15.0,15.0,15.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:108|
47,us-west-1,sslateingress,POST,/multicore,3b1232eb05d30096e115be919635cb87,e115be919635cb87,nan,0.0,17.0,17.0,2.0,17.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:116|
48,us-west-1,corecontrast,POST,/multicore,a4cfbaeb1925e4dd2fc51cbf2371c277,38346bae0fadde49,2fc51cbf2371c277,1.0,18.0,17.0,17.0,17.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:72|
49,us-west-1,sslateingress,POST,/multicore,a4cfbaeb1925e4dd2fc51cbf2371c277,2fc51cbf2371c277,nan,0.0,19.0,19.0,2.0,19.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:112|
50,us-west-1,sslateingress,POST,/multicore,6889e45fd32c5188a086bb7006473b7d,a086bb7006473b7d,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:120|
51,us-west-1,corecontrast,POST,/multicore,6889e45fd32c5188a086bb7006473b7d,eba0e97e1eabf2bb,a086bb7006473b7d,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:112|
52,us-west-1,sslateingress,POST,/multicore,c8fa53dbdd70ec454aac95c30154a957,4aac95c30154a957,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:120|
53,us-west-1,corecontrast,POST,/multicore,c8fa53dbdd70ec454aac95c30154a957,3613f98c100cd8e5,4aac95c30154a957,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:120|
54,us-west-1,sslateingress,POST,/multicore,0d2dbb996e31b912a29db5b0db77064f,a29db5b0db77064f,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:96|
55,us-west-1,corecontrast,POST,/multicore,0d2dbb996e31b912a29db5b0db77064f,572381ddf1472787,a29db5b0db77064f,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:132|
56,us-west-1,sslateingress,POST,/multicore,df6a70a8b33f648042d96545cf91ee9b,42d96545cf91ee9b,nan,0.0,16.0,16.0,2.0,16.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:88|
57,us-west-1,corecontrast,POST,/multicore,df6a70a8b33f648042d96545cf91ee9b,092e441c81f827dc,42d96545cf91ee9b,1.0,15.0,14.0,14.0,14.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:76|
