,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
0,us-west-1,sslateingress,POST,/cart,a9d03be37892daa9f09169248e38ac22,f09169248e38ac22,nan,0.0,143.0,143.0,17.0,143.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:168|
32,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,c04d718afb4b9633454bd2718c85d9ce,fc41698dc33a63fc,8a2fb8e0270170f7,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551142|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:212|
33,us-west-1,frontend,POST,/cart,c04d718afb4b9633454bd2718c85d9ce,8a2fb8e0270170f7,454bd2718c85d9ce,1.0,17.0,16.0,5.0,16.0,-1,frontend@POST@/cart:3|,frontend@POST@/cart:200|
34,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,c04d718afb4b9633454bd2718c85d9ce,5ad6d2c8f69c3ebe,8a2fb8e0270170f7,5.0,15.0,10.0,10.0,10.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:216|
35,us-west-1,sslateingress,POST,/cart,c04d718afb4b9633454bd2718c85d9ce,454bd2718c85d9ce,nan,0.0,18.0,18.0,2.0,18.0,-1,sslateingress@POST@/cart:2|,sslateingress@POST@/cart:196|
36,us-west-1,productcatalogservice,POST,/hipstershop.ProductCatalogService/GetProduct,e2179545d5000c670f187e8b61b0bb31,609b640c21859be0,01c88bb5dcd63b66,2.0,3.0,1.0,1.0,1.0,-1,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:18446744073709551158|,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct:228|
37,us-west-1,frontend,POST,/cart,e2179545d5000c670f187e8b61b0bb31,01c88bb5dcd63b66,0f187e8b61b0bb31,1.0,56.0,55.0,3.0,55.0,-1,frontend@POST@/cart:1|,frontend@POST@/cart:220|
38,us-west-1,cartservice,POST,/hipstershop.CartService/AddItem,e2179545d5000c670f187e8b61b0bb31,80d0a03f4650ae2f,01c88bb5dcd63b66,4.0,55.0,51.0,51.0,51.0,-1,cartservice@POST@/hipstershop.CartService/AddItem:1|,cartservice@POST@/hipstershop.CartService/AddItem:188|
39,us-west-1,sslateingress,POST,/cart,e2179545d5000c670f187e8b61b0bb31,0f187e8b61b0bb31,nan,0.0,57.0,57.0,2.0,57.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:212|
40,us-west-1,sslateingress,POST,/cart,3f5a4711c1469ea36bd996704e191a2d,6bd996704e191a2d,nan,0.0,9.0,9.0,2.0,9.0,-1,sslateingress@POST@/cart:1|,sslateingress@POST@/cart:204|
41,us-west-1,frontend,POST,/cart,3f5a4711c1469ea36bd996704e191a2d,7f321440f4f3c741,6bd996704e191a2d,1.0,8.0,7.0,4.0,7.0,-1,frontend@POST@/cart:2|,frontend@POST@/cart:240|
