,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
71,us-west-1,corecontrast,POST,/multicore,350ebc214175b7a0b0f9d1391ecac60b,b95d706b1bcaf2da,b0f9d1391ecac60b,2.0,70.0,68.0,68.0,68.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1264|
72,us-west-1,sslateingress,POST,/multicore,4f25a62aee55bfbf2e036679921a7281,2e036679921a7281,nan,0.0,1921.0,1921.0,13.0,1921.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1180|
73,us-west-1,corecontrast,POST,/multicore,4f25a62aee55bfbf2e036679921a7281,cacf1474842d683e,2e036679921a7281,1.0,1909.0,1908.0,1908.0,1908.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1280|
74,us-west-1,sslateingress,POST,/multicore,90aa5a6eb9b9f24a0502a5f30052b4b7,0502a5f30052b4b7,nan,0.0,1417.0,1417.0,14.0,1417.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1236|
75,us-west-1,corecontrast,POST,/multicore,90aa5a6eb9b9f24a0502a5f30052b4b7,de32795973745a1d,0502a5f30052b4b7,10.0,1413.0,1403.0,1403.0,1403.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1268|
76,us-west-1,sslateingress,POST,/multicore,1f4722c0361c8b8d9db6fb2fbb587128,9db6fb2fbb587128,nan,0.0,32.0,32.0,19.0,32.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:196|
77,us-west-1,corecontrast,POST,/multicore,1f4722c0361c8b8d9db6fb2fbb587128,39c5af63d70f173b,9db6fb2fbb587128,15.0,28.0,13.0,13.0,13.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:164|
78,us-west-1,sslateingress,POST,/multicore,3161ee9cd4bd776c2f382ce651a2bcce,2f382ce651a2bcce,nan,0.0,146.0,146.0,7.0,146.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:436|
79,us-west-1,corecontrast,POST,/multicore,3161ee9cd4bd776c2f382ce651a2bcce,c3e0e99d1c88f5e9,2f382ce651a2bcce,3.0,142.0,139.0,139.0,139.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:360|
80,us-west-1,sslateingress,POST,/multicore,470048f2c907a59fdf1ddfe8ca2d7959,df1ddfe8ca2d7959,nan,0.0,130.0,130.0,6.0,130.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1096|
81,us-west-1,corecontrast,POST,/multicore,470048f2c907a59fdf1ddfe8ca2d7959,9c47af028356b207,df1ddfe8ca2d7959,3.0,127.0,124.0,124.0,124.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1100|
82,us-west-1,sslateingress,POST,/multicore,0b82d1d1d589a5a50c3fd2ff8c90db98,0c3fd2ff8c90db98,nan,0.0,15.0,15.0,5.0,15.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1220|
83,us-west-1,corecontrast,POST,/multicore,0b82d1d1d589a5a50c3fd2ff8c90db98,edaa386cc3962003,0c3fd2ff8c90db98,2.0,12.0,10.0,10.0,10.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1228|
84,us-west-1,sslateingress,POST,/multicore,f733923b4870f4158f440ee72e6271fa,8f440ee72e6271fa,nan,0.0,2289.0,2289.0,77.0,2289.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1188|
85,us-west-1,corecontrast,POST,/multicore,f733923b4870f4158f440ee72e6271fa,f8625c28fcbe0b67,8f440ee72e6271fa,66.0,2278.0,2212.0,2212.0,2212.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1252|
86,us-west-1,sslateingress,POST,/multicore,2e4e155be55e442531006c31671d4470,31006c31671d4470,nan,0.0,420.0,420.0,96.0,420.0,-1,sslateingress@POST@/multicore:0|,sslateingress@POST@/multicore:1212|
87,us-west-1,corecontrast,POST,/multicore,2e4e155be55e442531006c31671d4470,26c96a79a68c5636,31006c31671d4470,25.0,349.0,324.0,324.0,324.0,-1,corecontrast@POST@/multicore:0|,corecontrast@POST@/multicore:1176|
