west_start,south_start,oW,oS,latency_baseline_ms,latency_papa_ms,weight_C_to_W,weight_C_to_S,gain_baseline_div_papa
35,0,0.65,1.0,27.420777129051743,24.214265565182348,0.04355740591779281,0.41532294027643735,1.132422416663342
35,10,0.65,0.9,28.803646168705733,23.280117571267514,0.049808146055672714,0.38994439160030353,1.2372637758606253
35,20,0.65,0.8,28.196801868933015,22.860720190330255,0.029022923524168215,0.3667002677067407,1.2334170417281884
35,30,0.65,0.7,31.51459633581639,27.018401449567143,0.12102077389705866,0.32120337901345397,1.166412320678627
35,40,0.65,0.6,33.71750000000001,32.455929132273,0.3174235306244043,0.1225414124080234,1.038870274290578
35,50,0.65,0.5,34.14578972790211,33.81106009344289,0.3405565037689911,0.09961816872009181,1.0099000041268784
35,60,0.65,0.4,35.3214659264623,35.76753854847824,0.3346813210519979,0.10549335143708509,0.9875285624865869
35,70,0.65,0.3,36.016807738815,36.84025404992563,0.24336270884036343,0.1953413191806523,0.9776481912965446
35,80,0.65,0.2,37.51269035532995,35.18952457695407,0.3312710541692479,0.08871044444314806,1.0660186747705407
35,90,0.65,0.1,39.33942958427329,37.417648241206024,0.3483606663515946,0.1057167164582861,1.051360292092086
35,100,0.65,0.0,40.515219933072615,80.05058349936974,0.24271817973120016,0.1598204606142407,0.5061202325076319
50,0,0.5,1.0,29.514301829022642,23.181488641855967,0.028662487557352095,0.36063689317264197,1.2731840601354778
50,10,0.5,0.9,29.19181883999678,23.87667354285483,0.032776072220608826,0.39532473801359064,1.222608282833122
50,20,0.5,0.8,30.060732984293193,23.32770841723721,0.0004523484988718379,0.4403957577066081,1.2886277746030486
50,30,0.5,0.7,33.83249405793015,25.458316536321856,0.041177403872091095,0.39089780237721494,1.3289368136208337
50,40,0.5,0.6,29.586197183098587,23.304076119824217,0.015596330275229345,0.40917431192660547,1.269571770662486
50,50,0.5,0.5,33.475162161073285,34.57373021307448,0.10500028501229229,0.3369211123676204,0.9682253536071802
50,60,0.5,0.4,36.52475526729244,36.21850362027353,0.22116218560277534,0.22029488291413707,1.008455668136645
50,70,0.5,0.3,38.87329332635225,34.36562386761686,0.23164254945992796,0.21443165243826012,1.131167979842293
50,80,0.5,0.2,39.93009779065556,35.283756549778325,0.33669083097951635,0.10494679968250446,1.1316849931872242
50,90,0.5,0.1,38.57829626047712,37.53719608080319,0.32327446099524193,0.11761442789364694,1.027735161076838
50,100,0.5,0.0,41.14261562613212,36.24532107131333,0.3428786860702863,0.0982721421773161,1.1351152206703667
60,0,0.4,1.0,30.89498931753134,24.21967133881102,0.018181818181818146,0.42857142857142855,1.2756155475992526
60,10,0.4,0.9,30.425169245647965,24.71083852805148,0.0479580018736073,0.38897216936795576,1.2312479485918553
60,20,0.4,0.8,30.77596618357488,23.775964869873498,0.0182608695652174,0.42521739130434777,1.2944150259311276
60,30,0.4,0.7,34.430247087750416,25.45616935483871,0.049858820300891324,0.33702941378655427,1.3525305637238743
60,40,0.4,0.6,36.14696884308832,35.39552960128877,0.11376243770145054,0.32602813821477983,1.0212297781743653
60,50,0.4,0.5,38.32878257017437,36.47935816803741,0.21091500558818838,0.23041599266049817,1.0506978328296739
60,60,0.4,0.4,38.701430010070496,74.7836984249099,0.19283136853844035,0.21022985595135554,0.5175115810691081
60,70,0.4,0.3,40.41946254726849,39.3824760524833,0.21373495337585888,0.17309632234430572,1.0263311655012053
60,80,0.4,0.2,40.436231066709624,40.4965536700391,0.2233766233766234,0.22077922077922074,0.9985104262495773
60,90,0.4,0.1,42.08381979950884,41.05776275007044,0.3220294882914137,0.12116218560277535,1.0249905737846527
60,100,0.4,0.0,42.364842521272735,41.671232324860014,0.32556729913921456,0.11780407926289259,1.0166448208444012
75,0,0.25,1.0,32.979087605974975,32.397372874526546,0.09088831337122906,0.3339636205210589,1.0179556142932138
75,10,0.25,0.9,32.659016657927644,24.088117813193463,0.02578668441184359,0.3771138595904212,1.3558143857981197
75,20,0.25,0.8,32.21079122206563,25.086879432624112,0.04335161407555635,0.3932187951676601,1.2839696267753917
75,30,0.25,0.7,39.180760248047044,33.70296191819464,0.09780512753587843,0.34840912782103634,1.1625316594769435
75,40,0.25,0.6,37.09302606663712,35.42885343646765,0.09455162313646774,0.3398455399840996,1.0469722406668827
75,50,0.25,0.5,38.00845614882823,37.680315658090734,0.10902479394571295,0.3299567688286505,1.0087085387955617
75,60,0.25,0.4,38.79940433067697,57.27468415546793,0.12307692307692307,0.3230769230769231,0.6774267707065627
75,70,0.25,0.3,40.368677316808174,39.57011411121825,0.21635199187875181,0.22790038495789466,1.0201809679735931
75,80,0.25,0.2,41.35122952469111,40.91255487976799,0.2222222222222222,0.22136089577950047,1.0107222500822126
75,90,0.25,0.1,42.138695529714724,41.79219209540308,0.22267093195553556,0.22012382786979195,1.0082911045565794
75,100,0.25,0.0,42.85506604381443,41.34637366175642,0.2127570262807007,0.202973310797951,1.0364891101309204
85,0,0.15,1.0,33.86223976160754,29.925385762056322,0.04171034090370382,0.4191742577803857,1.1315556641726878
85,10,0.15,0.9,33.65168403685968,28.333413897280966,0.0364893632430183,0.4070015736215827,1.1877031182638067
85,20,0.15,0.8,33.23411883182276,26.076535140805287,0.029043537241426137,0.3979919623876637,1.2744836939558388
85,30,0.15,0.7,36.87621271285375,34.72357036500463,0.0848863342458359,0.3319644270229408,1.061993692619196
85,40,0.15,0.6,39.97332421340629,33.85788009514978,0.10244256930656563,0.33237885926486294,1.180620998747425
85,50,0.15,0.5,40.27996613312906,39.865352839237495,0.1016610615674791,0.33837421180112753,1.010400341759511
85,60,0.15,0.4,41.25694472442849,40.001731497141016,0.10885852630336694,0.33061515790715934,1.0313789723671634
85,70,0.15,0.3,42.415428594435724,41.86126771907217,0.20946753785179367,0.23007350363099538,1.013238033761483
85,80,0.15,0.2,43.44693704941802,43.13681161752283,0.21813752186226532,0.22572670790274774,1.007189345254465
85,90,0.15,0.1,43.53245497401185,44.04837022132797,0.20319432120674358,0.2395740905057675,0.9882875292610414
85,100,0.15,0.0,45.63411489807429,44.974466540276715,0.21978916404996712,0.22066617745616246,1.0146671747002673
100,0,0.0,1.0,35.05538102142742,25.1515,0.040083498420314695,0.41968914382206773,1.3937690007127774
100,10,0.0,0.9,34.47540389186576,26.866322663871635,0.03559581437858686,0.3982175304194324,1.283220049248735
100,20,0.0,0.8,34.81729647068293,23.529333494617152,0.013202888028416862,0.4246478365990372,1.4797400223277957
100,30,0.0,0.7,37.558969396395305,27.19354968593977,0.09369422768077577,0.3591776016023121,1.3811719996163245
100,40,0.0,0.6,34.79847020933977,24.82451758449825,0.0226117440841367,0.4156003505696757,1.4017783060996838
100,50,0.0,0.5,40.02730237989772,39.4617241240597,0.08902713527653182,0.35677453248288554,1.0143323250160068
100,60,0.0,0.4,41.43643982432813,38.02765237020316,0.09515307170668684,0.3481279056057041,1.0896397027336864
100,70,0.0,0.3,42.120108016605535,42.032355426777734,0.21971267410392087,0.22218873434678338,1.0020877390509477
100,80,0.0,0.2,43.07288183393094,43.09151300426766,0.21368279869103396,0.2286248936166584,0.9995676371276434
100,90,0.0,0.1,43.298751007252214,43.263117625739945,0.2169638989685162,0.22428936473905559,1.000823643405002
100,100,0.0,0.0,44.33191061002617,44.42031615452859,0.22226895137712793,0.21849759914552014,0.9980097947931105
