counter,region,service,endpoint,rps
44,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
44,us-central-1,sslateingress,sslateingress@POST@/multicore,199
44,us-central-1,sslateingress,sslateingress@POST@/singlecore,52
45,us-south-1,corecontrast,corecontrast@POST@/multicore,199
45,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
45,us-south-1,sslateingress,sslateingress@POST@/multicore,213
45,us-south-1,sslateingress,sslateingress@POST@/singlecore,46
45,us-east-1,corecontrast,corecontrast@POST@/multicore,308
45,us-east-1,corecontrast,corecontrast@POST@/singlecore,143
45,us-east-1,sslateingress,sslateingress@POST@/multicore,311
45,us-east-1,sslateingress,sslateingress@POST@/singlecore,161
45,us-west-1,sslateingress,sslateingress@POST@/multicore,211
45,us-west-1,sslateingress,sslateingress@POST@/singlecore,51
45,us-west-1,corecontrast,corecontrast@POST@/multicore,204
45,us-west-1,corecontrast,corecontrast@POST@/singlecore,55
45,us-central-1,corecontrast,corecontrast@POST@/multicore,191
45,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
45,us-central-1,sslateingress,sslateingress@POST@/multicore,210
45,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
46,us-south-1,corecontrast,corecontrast@POST@/multicore,208
46,us-south-1,corecontrast,corecontrast@POST@/singlecore,56
46,us-south-1,sslateingress,sslateingress@POST@/multicore,196
46,us-south-1,sslateingress,sslateingress@POST@/singlecore,56
46,us-east-1,corecontrast,corecontrast@POST@/multicore,282
46,us-east-1,corecontrast,corecontrast@POST@/singlecore,150
46,us-east-1,sslateingress,sslateingress@POST@/multicore,305
46,us-east-1,sslateingress,sslateingress@POST@/singlecore,150
46,us-west-1,sslateingress,sslateingress@POST@/multicore,205
46,us-west-1,sslateingress,sslateingress@POST@/singlecore,54
46,us-west-1,corecontrast,corecontrast@POST@/multicore,192
46,us-west-1,corecontrast,corecontrast@POST@/singlecore,53
46,us-central-1,corecontrast,corecontrast@POST@/multicore,213
46,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
46,us-central-1,sslateingress,sslateingress@POST@/multicore,196
46,us-central-1,sslateingress,sslateingress@POST@/singlecore,55
47,us-south-1,corecontrast,corecontrast@POST@/multicore,200
47,us-south-1,corecontrast,corecontrast@POST@/singlecore,54
47,us-south-1,sslateingress,sslateingress@POST@/multicore,204
47,us-south-1,sslateingress,sslateingress@POST@/singlecore,52
47,us-east-1,corecontrast,corecontrast@POST@/multicore,301
47,us-east-1,corecontrast,corecontrast@POST@/singlecore,160
47,us-east-1,sslateingress,sslateingress@POST@/multicore,302
47,us-east-1,sslateingress,sslateingress@POST@/singlecore,150
47,us-west-1,sslateingress,sslateingress@POST@/multicore,207
47,us-west-1,sslateingress,sslateingress@POST@/singlecore,48
47,us-west-1,corecontrast,corecontrast@POST@/multicore,206
47,us-west-1,corecontrast,corecontrast@POST@/singlecore,61
47,us-central-1,corecontrast,corecontrast@POST@/multicore,189
47,us-central-1,corecontrast,corecontrast@POST@/singlecore,49
47,us-central-1,sslateingress,sslateingress@POST@/multicore,195
47,us-central-1,sslateingress,sslateingress@POST@/singlecore,50
48,us-south-1,corecontrast,corecontrast@POST@/multicore,199
48,us-south-1,corecontrast,corecontrast@POST@/singlecore,61
48,us-south-1,sslateingress,sslateingress@POST@/multicore,205
48,us-south-1,sslateingress,sslateingress@POST@/singlecore,56
48,us-east-1,corecontrast,corecontrast@POST@/multicore,298
48,us-east-1,corecontrast,corecontrast@POST@/singlecore,153
48,us-east-1,sslateingress,sslateingress@POST@/multicore,310
48,us-east-1,sslateingress,sslateingress@POST@/singlecore,155
48,us-west-1,sslateingress,sslateingress@POST@/multicore,199
48,us-west-1,sslateingress,sslateingress@POST@/singlecore,57
48,us-west-1,corecontrast,corecontrast@POST@/multicore,214
48,us-west-1,corecontrast,corecontrast@POST@/singlecore,51
48,us-central-1,corecontrast,corecontrast@POST@/multicore,211
48,us-central-1,corecontrast,corecontrast@POST@/singlecore,56
48,us-central-1,sslateingress,sslateingress@POST@/multicore,206
48,us-central-1,sslateingress,sslateingress@POST@/singlecore,46
49,us-south-1,corecontrast,corecontrast@POST@/multicore,200
49,us-south-1,corecontrast,corecontrast@POST@/singlecore,47
49,us-south-1,sslateingress,sslateingress@POST@/multicore,209
49,us-south-1,sslateingress,sslateingress@POST@/singlecore,54
49,us-east-1,corecontrast,corecontrast@POST@/multicore,305
49,us-east-1,corecontrast,corecontrast@POST@/singlecore,154
49,us-east-1,sslateingress,sslateingress@POST@/multicore,292
49,us-east-1,sslateingress,sslateingress@POST@/singlecore,152
49,us-west-1,sslateingress,sslateingress@POST@/multicore,204
49,us-west-1,sslateingress,sslateingress@POST@/singlecore,54
49,us-west-1,corecontrast,corecontrast@POST@/multicore,185
49,us-west-1,corecontrast,corecontrast@POST@/singlecore,57
49,us-central-1,corecontrast,corecontrast@POST@/multicore,200
49,us-central-1,corecontrast,corecontrast@POST@/singlecore,53
49,us-central-1,sslateingress,sslateingress@POST@/multicore,209
49,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
50,us-south-1,corecontrast,corecontrast@POST@/multicore,204
50,us-south-1,corecontrast,corecontrast@POST@/singlecore,59
50,us-south-1,sslateingress,sslateingress@POST@/multicore,200
50,us-south-1,sslateingress,sslateingress@POST@/singlecore,51
50,us-east-1,corecontrast,corecontrast@POST@/multicore,306
50,us-east-1,corecontrast,corecontrast@POST@/singlecore,150
50,us-east-1,sslateingress,sslateingress@POST@/multicore,309
50,us-east-1,sslateingress,sslateingress@POST@/singlecore,157
50,us-west-1,sslateingress,sslateingress@POST@/multicore,202
50,us-west-1,sslateingress,sslateingress@POST@/singlecore,52
50,us-west-1,corecontrast,corecontrast@POST@/multicore,213
50,us-west-1,corecontrast,corecontrast@POST@/singlecore,53
50,us-central-1,corecontrast,corecontrast@POST@/multicore,204
50,us-central-1,corecontrast,corecontrast@POST@/singlecore,55
50,us-central-1,sslateingress,sslateingress@POST@/multicore,215
50,us-central-1,sslateingress,sslateingress@POST@/singlecore,56
51,us-south-1,corecontrast,corecontrast@POST@/multicore,203
51,us-south-1,corecontrast,corecontrast@POST@/singlecore,48
51,us-south-1,sslateingress,sslateingress@POST@/multicore,201
51,us-south-1,sslateingress,sslateingress@POST@/singlecore,60
51,us-east-1,corecontrast,corecontrast@POST@/multicore,302
51,us-east-1,corecontrast,corecontrast@POST@/singlecore,165
51,us-east-1,sslateingress,sslateingress@POST@/multicore,299
51,us-east-1,sslateingress,sslateingress@POST@/singlecore,157
51,us-west-1,sslateingress,sslateingress@POST@/multicore,203
51,us-west-1,sslateingress,sslateingress@POST@/singlecore,52
51,us-west-1,corecontrast,corecontrast@POST@/multicore,194
51,us-west-1,corecontrast,corecontrast@POST@/singlecore,49
51,us-central-1,corecontrast,corecontrast@POST@/multicore,204
51,us-central-1,corecontrast,corecontrast@POST@/singlecore,47
51,us-central-1,sslateingress,sslateingress@POST@/multicore,196
51,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
52,us-south-1,corecontrast,corecontrast@POST@/multicore,199
52,us-south-1,corecontrast,corecontrast@POST@/singlecore,56
52,us-south-1,sslateingress,sslateingress@POST@/multicore,205
52,us-south-1,sslateingress,sslateingress@POST@/singlecore,50
52,us-east-1,corecontrast,corecontrast@POST@/multicore,300
52,us-east-1,corecontrast,corecontrast@POST@/singlecore,147
52,us-east-1,sslateingress,sslateingress@POST@/multicore,306
52,us-east-1,sslateingress,sslateingress@POST@/singlecore,147
52,us-west-1,sslateingress,sslateingress@POST@/multicore,207
52,us-west-1,sslateingress,sslateingress@POST@/singlecore,51
52,us-west-1,corecontrast,corecontrast@POST@/multicore,207
52,us-west-1,corecontrast,corecontrast@POST@/singlecore,54
52,us-central-1,corecontrast,corecontrast@POST@/multicore,205
52,us-central-1,corecontrast,corecontrast@POST@/singlecore,59
52,us-central-1,sslateingress,sslateingress@POST@/multicore,193
52,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
53,us-south-1,corecontrast,corecontrast@POST@/multicore,211
53,us-south-1,corecontrast,corecontrast@POST@/singlecore,52
53,us-south-1,sslateingress,sslateingress@POST@/multicore,196
53,us-south-1,sslateingress,sslateingress@POST@/singlecore,56
53,us-east-1,corecontrast,corecontrast@POST@/multicore,321
53,us-east-1,corecontrast,corecontrast@POST@/singlecore,154
53,us-east-1,sslateingress,sslateingress@POST@/multicore,298
53,us-east-1,sslateingress,sslateingress@POST@/singlecore,150
53,us-west-1,sslateingress,sslateingress@POST@/multicore,203
53,us-west-1,sslateingress,sslateingress@POST@/singlecore,55
53,us-west-1,corecontrast,corecontrast@POST@/multicore,209
53,us-west-1,corecontrast,corecontrast@POST@/singlecore,59
53,us-central-1,corecontrast,corecontrast@POST@/multicore,217
53,us-central-1,corecontrast,corecontrast@POST@/singlecore,56
53,us-central-1,sslateingress,sslateingress@POST@/multicore,204
53,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
54,us-south-1,corecontrast,corecontrast@POST@/multicore,197
54,us-south-1,corecontrast,corecontrast@POST@/singlecore,55
54,us-south-1,sslateingress,sslateingress@POST@/multicore,209
54,us-south-1,sslateingress,sslateingress@POST@/singlecore,49
54,us-east-1,corecontrast,corecontrast@POST@/multicore,307
54,us-east-1,corecontrast,corecontrast@POST@/singlecore,164
54,us-east-1,sslateingress,sslateingress@POST@/multicore,310
54,us-east-1,sslateingress,sslateingress@POST@/singlecore,157
54,us-west-1,sslateingress,sslateingress@POST@/multicore,204
54,us-west-1,sslateingress,sslateingress@POST@/singlecore,53
54,us-west-1,corecontrast,corecontrast@POST@/multicore,204
54,us-west-1,corecontrast,corecontrast@POST@/singlecore,46
54,us-central-1,corecontrast,corecontrast@POST@/multicore,184
54,us-central-1,corecontrast,corecontrast@POST@/singlecore,47
54,us-central-1,sslateingress,sslateingress@POST@/multicore,199
54,us-central-1,sslateingress,sslateingress@POST@/singlecore,52
55,us-south-1,corecontrast,corecontrast@POST@/multicore,202
55,us-south-1,corecontrast,corecontrast@POST@/singlecore,50
55,us-south-1,sslateingress,sslateingress@POST@/multicore,209
55,us-south-1,sslateingress,sslateingress@POST@/singlecore,54
55,us-east-1,corecontrast,corecontrast@POST@/multicore,287
55,us-east-1,corecontrast,corecontrast@POST@/singlecore,148
55,us-east-1,sslateingress,sslateingress@POST@/multicore,290
55,us-east-1,sslateingress,sslateingress@POST@/singlecore,158
55,us-west-1,sslateingress,sslateingress@POST@/multicore,188
55,us-west-1,sslateingress,sslateingress@POST@/singlecore,55
55,us-west-1,corecontrast,corecontrast@POST@/multicore,194
55,us-west-1,corecontrast,corecontrast@POST@/singlecore,58
55,us-central-1,corecontrast,corecontrast@POST@/multicore,201
55,us-central-1,corecontrast,corecontrast@POST@/singlecore,61
55,us-central-1,sslateingress,sslateingress@POST@/multicore,209
55,us-central-1,sslateingress,sslateingress@POST@/singlecore,53
56,us-south-1,corecontrast,corecontrast@POST@/multicore,197
56,us-south-1,corecontrast,corecontrast@POST@/singlecore,54
56,us-south-1,sslateingress,sslateingress@POST@/multicore,197
56,us-south-1,sslateingress,sslateingress@POST@/singlecore,60
56,us-east-1,corecontrast,corecontrast@POST@/multicore,312
56,us-east-1,corecontrast,corecontrast@POST@/singlecore,151
56,us-east-1,sslateingress,sslateingress@POST@/multicore,306
56,us-east-1,sslateingress,sslateingress@POST@/singlecore,151
56,us-west-1,sslateingress,sslateingress@POST@/multicore,220
56,us-west-1,sslateingress,sslateingress@POST@/singlecore,51
56,us-west-1,corecontrast,corecontrast@POST@/multicore,213
56,us-west-1,corecontrast,corecontrast@POST@/singlecore,50
56,us-central-1,corecontrast,corecontrast@POST@/multicore,213
