,cluster_id,svc_name,method,path,trace_id,span_id,parent_span_id,st,et,rt,xt,ct,call_size,inflight_dict,rps_dict
30,us-west-1,frontend,POST,/cart/checkout,5ac02c5cbcbd7fa9126310e6bcd66ab3,357ecc47a6b5dd20,126310e6bcd66ab3,1.0,31.0,30.0,6.0,30.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:584|
31,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,5ac02c5cbcbd7fa9126310e6bcd66ab3,fd0fa4bbea02dcab,357ecc47a6b5dd20,2.0,21.0,19.0,15.0,19.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:2|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:608|
32,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,735aa1d9da3db3c64f5df2faa788c03e,9ef2df6a0930e91e,dc79cc9993decaf3,15.0,16.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709549226|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:560|
33,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,735aa1d9da3db3c64f5df2faa788c03e,c1bbb64c426d6015,dc79cc9993decaf3,18.0,20.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:568|
34,us-west-1,sslateingress,POST,/cart/checkout,735aa1d9da3db3c64f5df2faa788c03e,4f5df2faa788c03e,nan,0.0,32.0,32.0,2.0,32.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:568|
35,us-west-1,frontend,POST,/cart/checkout,735aa1d9da3db3c64f5df2faa788c03e,13c8e8a1e1fdc3d5,4f5df2faa788c03e,1.0,31.0,30.0,6.0,30.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:632|
36,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,735aa1d9da3db3c64f5df2faa788c03e,26675a16e2a48786,dc79cc9993decaf3,4.0,6.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:608|
37,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,735aa1d9da3db3c64f5df2faa788c03e,5e18416a6ecab688,dc79cc9993decaf3,12.0,13.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
38,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,735aa1d9da3db3c64f5df2faa788c03e,eda3eba4380f0bdd,13c8e8a1e1fdc3d5,24.0,30.0,6.0,6.0,6.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:576|
39,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,735aa1d9da3db3c64f5df2faa788c03e,dc79cc9993decaf3,13c8e8a1e1fdc3d5,3.0,21.0,18.0,15.0,18.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:600|
40,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,fcdf2cdbc7545d71bf83a674f55d9d6d,7ff8d1e15d0c510a,3d0f56ed2f0fc147,14.0,15.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709549146|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:576|
41,us-west-1,frontend,POST,/cart/checkout,fcdf2cdbc7545d71bf83a674f55d9d6d,7d3d1b6901c95f50,bf83a674f55d9d6d,1.0,28.0,27.0,6.0,27.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:640|
42,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,fcdf2cdbc7545d71bf83a674f55d9d6d,2746fe845c6cce70,3d0f56ed2f0fc147,17.0,18.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:560|
43,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,fcdf2cdbc7545d71bf83a674f55d9d6d,f63a65251e481bc7,7d3d1b6901c95f50,22.0,26.0,4.0,4.0,4.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:2|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:584|
44,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,fcdf2cdbc7545d71bf83a674f55d9d6d,3d0f56ed2f0fc147,7d3d1b6901c95f50,2.0,19.0,17.0,15.0,17.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:608|
45,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,fcdf2cdbc7545d71bf83a674f55d9d6d,98300f33299f7eae,3d0f56ed2f0fc147,11.0,12.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
46,us-west-1,sslateingress,POST,/cart/checkout,fcdf2cdbc7545d71bf83a674f55d9d6d,bf83a674f55d9d6d,nan,0.0,29.0,29.0,2.0,29.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:608|
47,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,fcdf2cdbc7545d71bf83a674f55d9d6d,7a283105e632f6fd,3d0f56ed2f0fc147,4.0,5.0,1.0,1.0,1.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:600|
48,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,61220167929654a512bb5be21e735ed4,7352136df84d73cc,02363e86a280656a,5.0,7.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:608|
49,us-west-1,frontend,POST,/cart/checkout,61220167929654a512bb5be21e735ed4,d970e40592a0dba5,12bb5be21e735ed4,2.0,32.0,30.0,6.0,30.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:592|
50,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,61220167929654a512bb5be21e735ed4,ee7c436e03642606,02363e86a280656a,17.0,18.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:18446744073709549112|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:568|
51,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,61220167929654a512bb5be21e735ed4,4cc56654f3761eef,02363e86a280656a,20.0,22.0,2.0,2.0,2.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:560|
52,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,61220167929654a512bb5be21e735ed4,3da0f9cbbe416052,d970e40592a0dba5,26.0,30.0,4.0,4.0,4.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:568|
53,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,61220167929654a512bb5be21e735ed4,02363e86a280656a,d970e40592a0dba5,3.0,23.0,20.0,16.0,20.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:608|
54,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,61220167929654a512bb5be21e735ed4,5219d497d449bfdd,02363e86a280656a,13.0,15.0,2.0,2.0,2.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
55,us-west-1,sslateingress,POST,/cart/checkout,61220167929654a512bb5be21e735ed4,12bb5be21e735ed4,nan,0.0,33.0,33.0,3.0,33.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:560|
56,us-west-1,shippingservice,POST,/hipstershop.ShippingService/ShipOrder,7fee251c86cb43f31992ad58175a3492,7086ed1ea87d1514,e285a33bc20fce29,14.0,15.0,1.0,1.0,1.0,-1,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:1|,shippingservice@POST@/hipstershop.ShippingService/ShipOrder:560|
57,us-west-1,cartservice,POST,/hipstershop.CartService/GetCart,7fee251c86cb43f31992ad58175a3492,42da6ac9b4fc6c45,e285a33bc20fce29,4.0,6.0,2.0,2.0,2.0,-1,cartservice@POST@/hipstershop.CartService/GetCart:1|,cartservice@POST@/hipstershop.CartService/GetCart:608|
58,us-west-1,checkoutservice,POST,/hipstershop.CheckoutService/PlaceOrder,7fee251c86cb43f31992ad58175a3492,e285a33bc20fce29,e412f4e3a068ea61,2.0,19.0,17.0,15.0,17.0,-1,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:1|,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder:592|
59,us-west-1,recommendationservice,POST,/hipstershop.RecommendationService/ListRecommendations,7fee251c86cb43f31992ad58175a3492,496be0b3dd987cf8,e412f4e3a068ea61,21.0,26.0,5.0,5.0,5.0,-1,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:1|,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations:576|
60,us-west-1,sslateingress,POST,/cart/checkout,7fee251c86cb43f31992ad58175a3492,1992ad58175a3492,nan,0.0,28.0,28.0,2.0,28.0,-1,sslateingress@POST@/cart/checkout:1|,sslateingress@POST@/cart/checkout:640|
61,us-west-1,frontend,POST,/cart/checkout,7fee251c86cb43f31992ad58175a3492,e412f4e3a068ea61,1992ad58175a3492,1.0,27.0,26.0,4.0,26.0,-1,frontend@POST@/cart/checkout:1|,frontend@POST@/cart/checkout:600|
62,us-west-1,paymentservice,POST,/hipstershop.PaymentService/Charge,7fee251c86cb43f31992ad58175a3492,897a3d6dc75f18b5,e285a33bc20fce29,11.0,12.0,1.0,1.0,1.0,-1,paymentservice@POST@/hipstershop.PaymentService/Charge:1|,paymentservice@POST@/hipstershop.PaymentService/Charge:600|
63,us-west-1,emailservice,POST,/hipstershop.EmailService/SendOrderConfirmation,7fee251c86cb43f31992ad58175a3492,8422bed190e7c214,e285a33bc20fce29,17.0,18.0,1.0,1.0,1.0,-1,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:1|,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation:568|
