counter,region,service,endpoint,rps
50,us-central-1,corecontrast,corecontrast@POST@/multicore,189
50,us-central-1,sslateingress,sslateingress@POST@/multicore,203
50,us-central-1,sslateingress,sslateingress@POST@/singlecore,51
50,us-east-1,sslateingress,sslateingress@POST@/multicore,198
50,us-east-1,sslateingress,sslateingress@POST@/singlecore,53
50,us-east-1,corecontrast,corecontrast@POST@/singlecore,54
50,us-east-1,corecontrast,corecontrast@POST@/multicore,205
50,us-south-1,sslateingress,sslateingress@POST@/multicore,216
50,us-south-1,sslateingress,sslateingress@POST@/singlecore,51
50,us-south-1,corecontrast,corecontrast@POST@/singlecore,56
50,us-south-1,corecontrast,corecontrast@POST@/multicore,212
51,us-west-1,sslateingress,sslateingress@POST@/multicore,200
51,us-west-1,sslateingress,sslateingress@POST@/singlecore,55
51,us-west-1,corecontrast,corecontrast@POST@/singlecore,56
51,us-west-1,corecontrast,corecontrast@POST@/multicore,209
51,us-central-1,corecontrast,corecontrast@POST@/singlecore,50
51,us-central-1,corecontrast,corecontrast@POST@/multicore,219
51,us-central-1,sslateingress,sslateingress@POST@/multicore,214
51,us-central-1,sslateingress,sslateingress@POST@/singlecore,56
51,us-east-1,sslateingress,sslateingress@POST@/multicore,205
51,us-east-1,sslateingress,sslateingress@POST@/singlecore,51
51,us-east-1,corecontrast,corecontrast@POST@/singlecore,52
51,us-east-1,corecontrast,corecontrast@POST@/multicore,203
51,us-south-1,sslateingress,sslateingress@POST@/multicore,203
51,us-south-1,sslateingress,sslateingress@POST@/singlecore,51
51,us-south-1,corecontrast,corecontrast@POST@/singlecore,55
51,us-south-1,corecontrast,corecontrast@POST@/multicore,196
52,us-west-1,sslateingress,sslateingress@POST@/multicore,202
52,us-west-1,sslateingress,sslateingress@POST@/singlecore,56
52,us-west-1,corecontrast,corecontrast@POST@/singlecore,55
52,us-west-1,corecontrast,corecontrast@POST@/multicore,198
52,us-central-1,corecontrast,corecontrast@POST@/singlecore,57
52,us-central-1,corecontrast,corecontrast@POST@/multicore,189
52,us-central-1,sslateingress,sslateingress@POST@/multicore,204
52,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
52,us-east-1,sslateingress,sslateingress@POST@/multicore,201
52,us-east-1,sslateingress,sslateingress@POST@/singlecore,51
52,us-east-1,corecontrast,corecontrast@POST@/singlecore,50
52,us-east-1,corecontrast,corecontrast@POST@/multicore,217
52,us-south-1,sslateingress,sslateingress@POST@/multicore,202
52,us-south-1,sslateingress,sslateingress@POST@/singlecore,55
52,us-south-1,corecontrast,corecontrast@POST@/singlecore,55
52,us-south-1,corecontrast,corecontrast@POST@/multicore,222
53,us-west-1,sslateingress,sslateingress@POST@/multicore,206
53,us-west-1,sslateingress,sslateingress@POST@/singlecore,50
53,us-west-1,corecontrast,corecontrast@POST@/singlecore,52
53,us-west-1,corecontrast,corecontrast@POST@/multicore,202
53,us-central-1,corecontrast,corecontrast@POST@/singlecore,48
53,us-central-1,corecontrast,corecontrast@POST@/multicore,228
53,us-central-1,sslateingress,sslateingress@POST@/multicore,199
53,us-central-1,sslateingress,sslateingress@POST@/singlecore,56
53,us-east-1,sslateingress,sslateingress@POST@/multicore,208
53,us-east-1,sslateingress,sslateingress@POST@/singlecore,53
53,us-east-1,corecontrast,corecontrast@POST@/singlecore,58
53,us-east-1,corecontrast,corecontrast@POST@/multicore,187
53,us-south-1,sslateingress,sslateingress@POST@/multicore,206
53,us-south-1,sslateingress,sslateingress@POST@/singlecore,53
53,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
53,us-south-1,corecontrast,corecontrast@POST@/multicore,190
54,us-west-1,sslateingress,sslateingress@POST@/multicore,193
54,us-west-1,sslateingress,sslateingress@POST@/singlecore,50
54,us-west-1,corecontrast,corecontrast@POST@/singlecore,52
54,us-west-1,corecontrast,corecontrast@POST@/multicore,218
54,us-central-1,corecontrast,corecontrast@POST@/singlecore,55
54,us-central-1,corecontrast,corecontrast@POST@/multicore,192
54,us-central-1,sslateingress,sslateingress@POST@/multicore,205
54,us-central-1,sslateingress,sslateingress@POST@/singlecore,54
54,us-east-1,sslateingress,sslateingress@POST@/multicore,201
54,us-east-1,sslateingress,sslateingress@POST@/singlecore,55
54,us-east-1,corecontrast,corecontrast@POST@/singlecore,55
54,us-east-1,corecontrast,corecontrast@POST@/multicore,197
54,us-south-1,sslateingress,sslateingress@POST@/multicore,200
54,us-south-1,sslateingress,sslateingress@POST@/singlecore,59
54,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
54,us-south-1,corecontrast,corecontrast@POST@/multicore,206
55,us-west-1,sslateingress,sslateingress@POST@/multicore,195
55,us-west-1,sslateingress,sslateingress@POST@/singlecore,60
55,us-west-1,corecontrast,corecontrast@POST@/singlecore,52
55,us-west-1,corecontrast,corecontrast@POST@/multicore,193
55,us-central-1,corecontrast,corecontrast@POST@/singlecore,53
55,us-central-1,corecontrast,corecontrast@POST@/multicore,207
55,us-central-1,sslateingress,sslateingress@POST@/multicore,202
55,us-central-1,sslateingress,sslateingress@POST@/singlecore,55
55,us-east-1,sslateingress,sslateingress@POST@/multicore,199
55,us-east-1,sslateingress,sslateingress@POST@/singlecore,59
55,us-east-1,corecontrast,corecontrast@POST@/singlecore,52
55,us-east-1,corecontrast,corecontrast@POST@/multicore,212
55,us-south-1,sslateingress,sslateingress@POST@/multicore,214
55,us-south-1,sslateingress,sslateingress@POST@/singlecore,54
55,us-south-1,corecontrast,corecontrast@POST@/singlecore,56
55,us-south-1,corecontrast,corecontrast@POST@/multicore,206
56,us-west-1,sslateingress,sslateingress@POST@/multicore,218
56,us-west-1,sslateingress,sslateingress@POST@/singlecore,46
56,us-west-1,corecontrast,corecontrast@POST@/singlecore,55
56,us-west-1,corecontrast,corecontrast@POST@/multicore,202
56,us-central-1,corecontrast,corecontrast@POST@/singlecore,55
56,us-central-1,corecontrast,corecontrast@POST@/multicore,200
56,us-central-1,sslateingress,sslateingress@POST@/multicore,203
56,us-central-1,sslateingress,sslateingress@POST@/singlecore,55
56,us-east-1,sslateingress,sslateingress@POST@/multicore,209
56,us-east-1,sslateingress,sslateingress@POST@/singlecore,52
56,us-east-1,corecontrast,corecontrast@POST@/singlecore,60
56,us-east-1,corecontrast,corecontrast@POST@/multicore,204
56,us-south-1,sslateingress,sslateingress@POST@/multicore,198
56,us-south-1,sslateingress,sslateingress@POST@/singlecore,54
56,us-south-1,corecontrast,corecontrast@POST@/singlecore,53
56,us-south-1,corecontrast,corecontrast@POST@/multicore,206
57,us-west-1,sslateingress,sslateingress@POST@/multicore,203
57,us-west-1,sslateingress,sslateingress@POST@/singlecore,57
57,us-west-1,corecontrast,corecontrast@POST@/singlecore,54
57,us-west-1,corecontrast,corecontrast@POST@/multicore,209
57,us-central-1,corecontrast,corecontrast@POST@/singlecore,51
57,us-central-1,corecontrast,corecontrast@POST@/multicore,202
57,us-central-1,sslateingress,sslateingress@POST@/multicore,208
57,us-central-1,sslateingress,sslateingress@POST@/singlecore,55
57,us-east-1,sslateingress,sslateingress@POST@/multicore,206
57,us-east-1,sslateingress,sslateingress@POST@/singlecore,58
57,us-east-1,corecontrast,corecontrast@POST@/singlecore,54
57,us-east-1,corecontrast,corecontrast@POST@/multicore,212
57,us-south-1,sslateingress,sslateingress@POST@/multicore,199
57,us-south-1,sslateingress,sslateingress@POST@/singlecore,46
57,us-south-1,corecontrast,corecontrast@POST@/singlecore,58
57,us-south-1,corecontrast,corecontrast@POST@/multicore,210
58,us-west-1,sslateingress,sslateingress@POST@/multicore,210
58,us-west-1,sslateingress,sslateingress@POST@/singlecore,50
58,us-west-1,corecontrast,corecontrast@POST@/singlecore,54
58,us-west-1,corecontrast,corecontrast@POST@/multicore,206
58,us-central-1,corecontrast,corecontrast@POST@/singlecore,54
58,us-central-1,corecontrast,corecontrast@POST@/multicore,202
58,us-central-1,sslateingress,sslateingress@POST@/multicore,199
